,mac,datetime,kwhh
1072871,MAC004684,2012-07-13 08:30:00,0.097
1072872,MAC004684,2012-07-13 09:00:00,0.294
1072873,MAC004684,2012-07-13 09:30:00,0.028
1072874,MAC004684,2012-07-13 10:00:00,0.039
1072875,MAC004684,2012-07-13 10:30:00,0.02
1072876,MAC004684,2012-07-13 11:00:00,0.088
1072877,MAC004684,2012-07-13 11:30:00,0.088
1072878,MAC004684,2012-07-13 12:00:00,0.084
1072879,MAC004684,2012-07-13 12:30:00,0.784
1072880,MAC004684,2012-07-13 13:00:00,0.172
1072881,MAC004684,2012-07-13 13:30:00,0.057
1072882,MAC004684,2012-07-13 14:00:00,0.091
1072883,MAC004684,2012-07-13 14:30:00,0.139
1072884,MAC004684,2012-07-13 15:00:00,0.091
1072885,MAC004684,2012-07-13 15:30:00,0.064
1072886,MAC004684,2012-07-13 16:00:00,0.057
1072887,MAC004684,2012-07-13 16:30:00,0.053
1072888,MAC004684,2012-07-13 17:00:00,0.074
1072889,MAC004684,2012-07-13 17:30:00,0.014
1072890,MAC004684,2012-07-13 18:00:00,0.029
1072891,MAC004684,2012-07-13 18:30:00,0.058
1072892,MAC004684,2012-07-13 19:00:00,0.055
1072893,MAC004684,2012-07-13 19:30:00,0.053
1072894,MAC004684,2012-07-13 20:00:00,0.017
1072895,MAC004684,2012-07-13 20:30:00,0.014
1072896,MAC004684,2012-07-13 21:00:00,0.014
1072897,MAC004684,2012-07-13 21:30:00,0.248
1072898,MAC004684,2012-07-13 22:00:00,0.1
1072899,MAC004684,2012-07-13 22:30:00,0.063
1072900,MAC004684,2012-07-13 23:00:00,0.052
1072901,MAC004684,2012-07-13 23:30:00,0.018
1072902,MAC004684,2012-07-14 00:00:00,0.014
1072903,MAC004684,2012-07-14 00:30:00,0.03
1072904,MAC004684,2012-07-14 01:00:00,0.066
1072905,MAC004684,2012-07-14 01:30:00,0.066
1072906,MAC004684,2012-07-14 02:00:00,0.062
1072907,MAC004684,2012-07-14 02:30:00,0.027
1072908,MAC004684,2012-07-14 03:00:00,0.018
1072909,MAC004684,2012-07-14 03:30:00,0.014
1072910,MAC004684,2012-07-14 04:00:00,0.047
1072911,MAC004684,2012-07-14 04:30:00,0.056
1072912,MAC004684,2012-07-14 05:00:00,0.053
1072913,MAC004684,2012-07-14 05:30:00,0.018
1072914,MAC004684,2012-07-14 06:00:00,0.013
1072915,MAC004684,2012-07-14 06:30:00,0.032
1072916,MAC004684,2012-07-14 07:00:00,0.076
1072917,MAC004684,2012-07-14 07:30:00,0.08
1072918,MAC004684,2012-07-14 08:00:00,0.056
1072919,MAC004684,2012-07-14 08:30:00,0.207
1072920,MAC004684,2012-07-14 09:00:00,0.021
1072921,MAC004684,2012-07-14 09:30:00,0.036
1072922,MAC004684,2012-07-14 10:00:00,0.056
1072923,MAC004684,2012-07-14 10:30:00,0.054
1072924,MAC004684,2012-07-14 11:00:00,0.043
1072925,MAC004684,2012-07-14 11:30:00,0.014
1072926,MAC004684,2012-07-14 12:00:00,0.284
1072927,MAC004684,2012-07-14 12:30:00,0.293
1072928,MAC004684,2012-07-14 13:00:00,0.079
1072929,MAC004684,2012-07-14 13:30:00,0.123
1072930,MAC004684,2012-07-14 14:00:00,0.06
1072931,MAC004684,2012-07-14 14:30:00,0.031
1072932,MAC004684,2012-07-14 15:00:00,0.07
1072933,MAC004684,2012-07-14 15:30:00,0.107
1072934,MAC004684,2012-07-14 16:00:00,0.09
1072935,MAC004684,2012-07-14 16:30:00,0.082
1072936,MAC004684,2012-07-14 17:00:00,0.074
1072937,MAC004684,2012-07-14 17:30:00,0.103
1072938,MAC004684,2012-07-14 18:00:00,0.029
1072939,MAC004684,2012-07-14 18:30:00,0.064
1072940,MAC004684,2012-07-14 19:00:00,0.06
1072941,MAC004684,2012-07-14 19:30:00,0.061
1072942,MAC004684,2012-07-14 20:00:00,0.07
1072943,MAC004684,2012-07-14 20:30:00,0.06
1072944,MAC004684,2012-07-14 21:00:00,0.038
1072945,MAC004684,2012-07-14 21:30:00,0.041
1072946,MAC004684,2012-07-14 22:00:00,0.068
1072947,MAC004684,2012-07-14 22:30:00,0.064
1072948,MAC004684,2012-07-14 23:00:00,0.065
1072949,MAC004684,2012-07-14 23:30:00,0.027
1072950,MAC004684,2012-07-15 00:00:00,0.023
1072951,MAC004684,2012-07-15 00:30:00,0.029
1072952,MAC004684,2012-07-15 01:00:00,0.066
1072953,MAC004684,2012-07-15 01:30:00,0.062
1072954,MAC004684,2012-07-15 02:00:00,0.043
1072955,MAC004684,2012-07-15 02:30:00,0.021
1072956,MAC004684,2012-07-15 03:00:00,0.022
1072957,MAC004684,2012-07-15 03:30:00,0.058
1072958,MAC004684,2012-07-15 04:00:00,0.072
1072959,MAC004684,2012-07-15 04:30:00,0.067
1072960,MAC004684,2012-07-15 05:00:00,0.028
1072961,MAC004684,2012-07-15 05:30:00,0.014
1072962,MAC004684,2012-07-15 06:00:00,0.028
1072963,MAC004684,2012-07-15 06:30:00,0.056
1072964,MAC004684,2012-07-15 07:00:00,0.054
1072965,MAC004684,2012-07-15 07:30:00,0.028
1072966,MAC004684,2012-07-15 08:00:00,0.026
1072967,MAC004684,2012-07-15 08:30:00,0.014
1072968,MAC004684,2012-07-15 09:00:00,0.053
1072969,MAC004684,2012-07-15 09:30:00,0.055
1072970,MAC004684,2012-07-15 10:00:00,0.065
1072971,MAC004684,2012-07-15 10:30:00,0.021
1072972,MAC004684,2012-07-15 11:00:00,0.087
1072973,MAC004684,2012-07-15 11:30:00,0.074
1072974,MAC004684,2012-07-15 12:00:00,0.098
1072975,MAC004684,2012-07-15 12:30:00,0.092
1072976,MAC004684,2012-07-15 13:00:00,0.057
1072977,MAC004684,2012-07-15 13:30:00,0.015
1072978,MAC004684,2012-07-15 14:00:00,0.014
1072979,MAC004684,2012-07-15 14:30:00,0.051
1072980,MAC004684,2012-07-15 15:00:00,0.055
1072981,MAC004684,2012-07-15 15:30:00,0.053
1072982,MAC004684,2012-07-15 16:00:00,0.018
1072983,MAC004684,2012-07-15 16:30:00,0.014
1072984,MAC004684,2012-07-15 17:00:00,0.024
1072985,MAC004684,2012-07-15 17:30:00,0.058
1072986,MAC004684,2012-07-15 18:00:00,0.054
1072987,MAC004684,2012-07-15 18:30:00,0.052
1072988,MAC004684,2012-07-15 19:00:00,0.023
1072989,MAC004684,2012-07-15 19:30:00,0.016
1072990,MAC004684,2012-07-15 20:00:00,0.314
1072991,MAC004684,2012-07-15 20:30:00,0.082
1072992,MAC004684,2012-07-15 21:00:00,0.092
1072993,MAC004684,2012-07-15 21:30:00,0.06
1072994,MAC004684,2012-07-15 22:00:00,0.024
1072995,MAC004684,2012-07-15 22:30:00,0.022
1072996,MAC004684,2012-07-15 23:00:00,0.038
1072997,MAC004684,2012-07-15 23:30:00,0.056
1072998,MAC004684,2012-07-16 00:00:00,0.059
1072999,MAC004684,2012-07-16 00:30:00,0.025
1073000,MAC004684,2012-07-16 01:00:00,0.024
1073001,MAC004684,2012-07-16 01:30:00,0.045
1073002,MAC004684,2012-07-16 02:00:00,0.074
1073003,MAC004684,2012-07-16 02:30:00,0.065
1073004,MAC004684,2012-07-16 03:00:00,0.024
1073005,MAC004684,2012-07-16 03:30:00,0.014
1073006,MAC004684,2012-07-16 04:00:00,0.014
1073007,MAC004684,2012-07-16 04:30:00,0.059
1073008,MAC004684,2012-07-16 05:00:00,0.054
1073009,MAC004684,2012-07-16 05:30:00,0.025
1073010,MAC004684,2012-07-16 06:00:00,0.014
1073011,MAC004684,2012-07-16 06:30:00,0.016
1073012,MAC004684,2012-07-16 07:00:00,0.058
1073013,MAC004684,2012-07-16 07:30:00,0.068
1073014,MAC004684,2012-07-16 08:00:00,0.041
1073015,MAC004684,2012-07-16 08:30:00,0.014
1073016,MAC004684,2012-07-16 09:00:00,0.111
1073017,MAC004684,2012-07-16 09:30:00,0.065
1073018,MAC004684,2012-07-16 10:00:00,0.055
1073019,MAC004684,2012-07-16 10:30:00,0.036
1073020,MAC004684,2012-07-16 11:00:00,0.014
1073021,MAC004684,2012-07-16 11:30:00,0.014
1073022,MAC004684,2012-07-16 12:00:00,0.042
1073023,MAC004684,2012-07-16 12:30:00,0.055
1073024,MAC004684,2012-07-16 13:00:00,0.047
1073025,MAC004684,2012-07-16 13:30:00,0.014
1073026,MAC004684,2012-07-16 14:00:00,0.014
1073027,MAC004684,2012-07-16 14:30:00,0.031
1073028,MAC004684,2012-07-16 15:00:00,0.057
1073029,MAC004684,2012-07-16 15:30:00,0.053
1073030,MAC004684,2012-07-16 16:00:00,0.024
1073031,MAC004684,2012-07-16 16:30:00,0.014
1073032,MAC004684,2012-07-16 17:00:00,0.014
1073033,MAC004684,2012-07-16 17:30:00,0.053
1073034,MAC004684,2012-07-16 18:00:00,0.09
1073035,MAC004684,2012-07-16 18:30:00,0.079
1073036,MAC004684,2012-07-16 19:00:00,0.021
1073037,MAC004684,2012-07-16 19:30:00,0.233
1073038,MAC004684,2012-07-16 20:00:00,0.101
1073039,MAC004684,2012-07-16 20:30:00,0.11
1073040,MAC004684,2012-07-16 21:00:00,0.097
1073041,MAC004684,2012-07-16 21:30:00,0.06
1073042,MAC004684,2012-07-16 22:00:00,0.062
1073043,MAC004684,2012-07-16 22:30:00,0.092
1073044,MAC004684,2012-07-16 23:00:00,0.099
1073045,MAC004684,2012-07-16 23:30:00,0.098
1073046,MAC004684,2012-07-17 00:00:00,0.076
1073047,MAC004684,2012-07-17 00:30:00,0.13
1073048,MAC004684,2012-07-17 01:00:00,0.119
1073049,MAC004684,2012-07-17 01:30:00,0.122
1073050,MAC004684,2012-07-17 02:00:00,0.079
1073051,MAC004684,2012-07-17 02:30:00,0.027
1073052,MAC004684,2012-07-17 03:00:00,0.018
1073053,MAC004684,2012-07-17 03:30:00,0.038
1073054,MAC004684,2012-07-17 04:00:00,0.06
1073055,MAC004684,2012-07-17 04:30:00,0.053
1073056,MAC004684,2012-07-17 05:00:00,0.018
1073057,MAC004684,2012-07-17 05:30:00,0.017
1073058,MAC004684,2012-07-17 06:00:00,0.023
1073059,MAC004684,2012-07-17 06:30:00,0.061
1073060,MAC004684,2012-07-17 07:00:00,0.057
1073061,MAC004684,2012-07-17 07:30:00,0.021
1073062,MAC004684,2012-07-17 08:00:00,0.018
1073063,MAC004684,2012-07-17 08:30:00,0.017
1073064,MAC004684,2012-07-17 09:00:00,0.055
1073065,MAC004684,2012-07-17 09:30:00,0.058
1073066,MAC004684,2012-07-17 10:00:00,0.036
1073067,MAC004684,2012-07-17 10:30:00,0.017
1073068,MAC004684,2012-07-17 11:00:00,0.023
1073069,MAC004684,2012-07-17 11:30:00,0.053
1073070,MAC004684,2012-07-17 12:00:00,0.088
1073071,MAC004684,2012-07-17 12:30:00,0.139
1073072,MAC004684,2012-07-17 13:00:00,0.044
1073073,MAC004684,2012-07-17 13:30:00,0.017
1073074,MAC004684,2012-07-17 14:00:00,0.018
1073075,MAC004684,2012-07-17 14:30:00,0.057
1073076,MAC004684,2012-07-17 15:00:00,0.058
1073077,MAC004684,2012-07-17 15:30:00,0.04
1073078,MAC004684,2012-07-17 16:00:00,0.017
1073079,MAC004684,2012-07-17 16:30:00,0.044
1073080,MAC004684,2012-07-17 17:00:00,0.504
1073081,MAC004684,2012-07-17 17:30:00,0.35
1073082,MAC004684,2012-07-17 18:00:00,0.11
1073083,MAC004684,2012-07-17 18:30:00,0.094
1073084,MAC004684,2012-07-17 19:00:00,0.044
1073085,MAC004684,2012-07-17 19:30:00,0.022
