mac,kwhh
MAC000002,6095.6720007
MAC000003,14080.8620026
MAC000004,1119.8390001
MAC000005,2911.0060003
MAC000006,2167.448
MAC000007,4952.6959994
MAC000008,9440.6500001
MAC000009,4513.7340005
MAC000010,13780.230997
MAC000011,7446.0260006
MAC000012,1086.3829998
MAC000013,3257.678
MAC000014,3132.1249991
MAC000015,8953.7729998
MAC000016,533.736
MAC000017,5199.4260006
MAC000018,8739.1489997
MAC000019,5059.6200005
MAC000020,5342.4630004
MAC000021,18311.9230008
MAC000022,10206.5789994
MAC000023,11663.5899996
MAC000024,16922.3649942
MAC000025,3879.1560002
MAC000026,10136.4160011
MAC000027,7287.8510001
MAC000028,3220.0869999
MAC000029,2763.216001
MAC000030,9273.8230007
MAC000031,16290.8669975
MAC000032,10422.7589967
MAC000033,6157.7250001
MAC000034,22101.9499948
MAC000035,18464.2949974
MAC000036,2172.412
MAC000037,65.303
MAC000038,9256.5869973
MAC000039,7384.8680024
MAC000040,21677.4500017
MAC000041,6851.3090004
MAC000042,7550.8189994
MAC000043,2876.788
MAC000044,11552.8829993
MAC000045,16826.2560026
MAC000046,10733.299999
MAC000047,4317.105
MAC000048,5445.0380009
MAC000049,30087.0959988
MAC000050,11619.405997
MAC000051,12577.147001
MAC000052,5599.7419989
MAC000053,6713.869999
MAC000054,7754.0779999
MAC000055,10334.2839979
MAC000056,4958.5150001
MAC000057,8711.8419985
MAC000058,2743.178
MAC000059,14244.7500008
MAC000060,8696.2680007
MAC000061,4740.039
MAC000062,9474.0199998
MAC000063,8368.5210006
MAC000064,10803.0669977
MAC000065,4299.4010007
MAC000066,5496.079
MAC000067,5772.9519998
MAC000068,15692.7399992
MAC000069,6423.8129998
MAC000070,3472.566
MAC000071,9034.072005
MAC000072,3588.1410002
MAC000073,3257.4789999
MAC000074,11067.4549992
MAC000075,4211.5390003
MAC000076,15028.8449966
MAC000077,4742.805
MAC000078,3972.8400002
MAC000079,14133.8369996
MAC000080,2017.1600001
MAC000081,10282.4950004
MAC000082,3215.9940007
MAC000083,11735.4559998
MAC000084,10933.4799994
MAC000085,22338.717004
MAC000086,4946.9039992
