date,kwhh
2011-11-23,90.384999563
2011-11-24,213.412000291
2011-11-25,303.993000187
2011-11-26,420.975999856
2011-11-27,444.883001068
2011-11-28,500.686001672
2011-11-29,584.316998017
2011-11-30,669.826996996
2011-12-01,848.949001319
2011-12-02,1014.59099854
2011-12-03,1185.8300053
2011-12-04,1337.94400416
2011-12-05,1336.82399953
2011-12-06,1540.89099388
2011-12-07,1655.1829971
2011-12-08,1924.70000724
2011-12-09,2163.81001079
2011-12-10,2539.39400396
2011-12-11,2763.5840017
2011-12-12,2581.62299858
2011-12-13,2678.46800456
2011-12-14,2875.12399244
2011-12-15,3101.38400573
2011-12-16,3504.53301177
2011-12-17,3783.35098472
2011-12-18,4125.03597946
2011-12-19,4270.08605912
2011-12-20,4181.29600957
2011-12-21,4239.85101761
2011-12-22,4345.06094633
2011-12-23,4632.38602508
2011-12-24,4938.68996682
2011-12-25,4894.88403681
2011-12-26,4182.78802648
2011-12-27,4345.08894605
2011-12-28,4562.98401136
2011-12-29,4882.2579295
2011-12-30,5098.1299759
2011-12-31,5111.20495462
2012-01-01,5123.63489341
2012-01-02,5242.19996655
2012-01-03,5327.01098627
2012-01-04,5351.27889295
2012-01-05,5409.04109127
2012-01-06,5380.40000849
2012-01-07,5412.55494084
2012-01-08,5666.32598618
2012-01-09,5290.84606564
2012-01-10,5137.76996343
2012-01-11,5139.93793304
2012-01-12,5232.66202427
2012-01-13,5459.92204756
2012-01-14,5924.87493743
2012-01-15,6162.33809456
2012-01-16,5832.36993841
2012-01-17,5956.91497217
2012-01-18,5806.30100373
2012-01-19,5695.48895317
2012-01-20,6135.85308785
2012-01-21,6278.64789131
2012-01-22,6764.35403988
2012-01-23,6420.58900153
2012-01-24,6642.08206326
2012-01-25,6615.69190208
2012-01-26,6594.30492719
2012-01-27,6809.70409978
2012-01-28,7405.84790675
2012-01-29,7826.68279699
2012-01-30,7627.27200095
2012-01-31,8070.39076181
2012-02-01,8150.8288708
2012-02-02,8736.23018359
2012-02-03,9104.83905201
2012-02-04,9607.72221852
2012-02-05,10106.110899
2012-02-06,9200.58295011
2012-02-07,9259.80499297
2012-02-08,10242.8140975
2012-02-09,9808.07081154
2012-02-10,10166.6180687
2012-02-11,10411.574
2012-02-12,11115.0441191
2012-02-13,10128.2589897
2012-02-14,9734.7009362
2012-02-15,9464.25712592
2012-02-16,9230.9058339
2012-02-17,9157.10414137
2012-02-18,9560.52596208
2012-02-19,10151.2168171
2012-02-20,10032.9251823
2012-02-21,9669.36387282
2012-02-22,10049.2140114
2012-02-23,9193.10395887
2012-02-24,9249.6230797
2012-02-25,9503.8921718
2012-02-26,10017.5982191
2012-02-27,9988.87011655
2012-02-28,9578.67402111
2012-02-29,9708.55110575
2012-03-01,9558.59909721
2012-03-02,10224.2298737
2012-03-03,10559.8530472
2012-03-04,11645.9333766
2012-03-05,11101.2876811
2012-03-06,11569.9235494
2012-03-07,11456.4405243
2012-03-08,10936.7969778
2012-03-09,11160.1160845
2012-03-10,11030.6549137
2012-03-11,11145.288212
2012-03-12,10361.4268364
2012-03-13,10579.0039037
2012-03-14,10772.6630879
2012-03-15,11024.7821811
2012-03-16,11682.8397847
2012-03-17,12305.5106214
2012-03-18,12641.6586046
2012-03-19,11840.9169705
2012-03-20,11728.8883911
2012-03-21,11657.0789465
2012-03-22,11674.3061982
2012-03-23,11956.1567708
2012-03-24,12160.8215869
2012-03-25,12719.7532447
2012-03-26,12011.9019231
2012-03-27,11643.8829677
2012-03-28,11703.841135
2012-03-29,11490.5100569
2012-03-30,11492.2809998
2012-03-31,12862.4184387
2012-04-01,13271.9560861
2012-04-02,12586.5340706
2012-04-03,13122.6308926
2012-04-04,13499.772869
2012-04-05,14275.2577345
2012-04-06,14166.7920187
2012-04-07,13829.7637589
2012-04-08,14225.886281
2012-04-09,14258.7698064
2012-04-10,13588.5528767
2012-04-11,14119.7640485
2012-04-12,14596.4670882
2012-04-13,14815.5063776
2012-04-14,15362.4069468
2012-04-15,16667.2670725
2012-04-16,16168.6313996
2012-04-17,16977.2921517
2012-04-18,17798.1862772
2012-04-19,18145.6231228
2012-04-20,17916.4222037
2012-04-21,18058.7052095
2012-04-22,18821.7143614
2012-04-23,18552.971322
2012-04-24,18690.7385321
2012-04-25,20039.3241047
2012-04-26,19379.3836661
2012-04-27,19492.965448
2012-04-28,21802.2865822
2012-04-29,23521.6363433
2012-04-30,19711.5675898
2012-05-01,20052.4621137
2012-05-02,20800.0403945
2012-05-03,22983.4388987
2012-05-04,23376.2288951
2012-05-05,24115.7543708
2012-05-06,25069.8164842
2012-05-07,24799.3330885
2012-05-08,22697.1377453
2012-05-09,23930.9401836
2012-05-10,23786.5953183
2012-05-11,23265.2254029
2012-05-12,24573.9389663
2012-05-13,25499.5022316
2012-05-14,25471.4078921
2012-05-15,26962.9407546
2012-05-16,23553.5629339
2012-05-17,26404.8401805
2012-05-18,27501.3537649
2012-05-19,27948.3443112
2012-05-20,30409.4320244
2012-05-21,28194.4945476
2012-05-22,27028.4900244
2012-05-23,26913.8882497
2012-05-24,27115.1507248
2012-05-25,27570.6718427
2012-05-26,28215.4292305
2012-05-27,29319.4944774
2012-05-28,28499.8555935
2012-05-29,28586.089027
2012-05-30,28805.4593569
2012-05-31,29598.6729025
2012-06-01,30278.7687125
2012-06-02,31599.7565409
2012-06-03,34793.9765687
2012-06-04,33059.6351331
2012-06-05,34515.6557466
2012-06-06,31933.4581938
2012-06-07,33597.374977
2012-06-08,34180.6302492
2012-06-09,33429.1322941
2012-06-10,35620.7743508
2012-06-11,37268.2225727
2012-06-12,36505.2799925
2012-06-13,27945.0864552
2012-06-14,31563.7840261
2012-06-15,28245.463042
2012-06-16,28835.0471776
2012-06-17,36371.0826035
2012-06-18,34255.8472108
2012-06-19,33553.4217924
2012-06-20,33290.9979424
2012-06-21,34897.8807695
2012-06-22,35143.5217915
2012-06-23,35936.2358267
2012-06-24,37537.6898683
2012-06-25,34570.66968
2012-06-26,34439.9195335
2012-06-27,34593.2534441
2012-06-28,34114.6769323
2012-06-29,34444.3516431
2012-06-30,34421.8949955
2012-07-01,36555.6525904
2012-07-02,36552.4159452
2012-07-03,35671.7607756
2012-07-04,34921.6200874
2012-07-05,35166.2890431
2012-07-06,36397.9066217
2012-07-07,37877.5527274
2012-07-08,40721.0675577
2012-07-09,38590.281259
2012-07-10,38256.1016214
2012-07-11,38083.1998269
2012-07-12,38564.3862591
2012-07-13,38797.3343047
2012-07-14,40751.0793581
2012-07-15,40955.0133382
2012-07-16,40635.1928705
2012-07-17,38616.2224629
2012-07-18,39177.4513868
2012-07-19,38509.4699941
2012-07-20,39070.8562192
2012-07-21,38614.8488553
2012-07-22,39109.2811644
2012-07-23,37942.4914822
2012-07-24,37556.1663719
2012-07-25,37967.3540859
2012-07-26,37555.185887
2012-07-27,39049.3697632
2012-07-28,38424.9968692
2012-07-29,40675.0994664
2012-07-30,38372.4443291
2012-07-31,39006.6779622
2012-08-01,38332.4875265
2012-08-02,37860.2258841
2012-08-03,38068.4997599
2012-08-04,38825.1762616
2012-08-05,41253.6236239
2012-08-06,39361.1108644
2012-08-07,39103.3282763
2012-08-08,38104.8789493
2012-08-09,37950.2696824
2012-08-10,37923.4526944
2012-08-11,38220.6547132
2012-08-12,39990.8628708
2012-08-13,38487.481244
2012-08-14,37554.7698071
2012-08-15,38538.0431209
2012-08-16,37880.9419495
2012-08-17,37000.172106
2012-08-18,38142.6710889
2012-08-19,40026.1820239
2012-08-20,38744.4178395
2012-08-21,37815.4533348
2012-08-22,37369.1352588
2012-08-23,37263.3477123
2012-08-24,37624.7120747
2012-08-25,38687.2881038
2012-08-26,38567.1913069
2012-08-27,39589.0426478
2012-08-28,38325.0651693
2012-08-29,39500.460134
2012-08-30,39693.9458559
2012-08-31,38564.8474368
2012-09-01,39517.0125582
2012-09-02,42865.21257
2012-09-03,39822.2369017
2012-09-04,39716.1419529
2012-09-05,38868.1988662
2012-09-06,38445.3110558
2012-09-07,38285.1842502
2012-09-08,39235.1772293
2012-09-09,40934.0755448
2012-09-10,40549.2157154
2012-09-11,39250.8056658
2012-09-12,39515.054554
2012-09-13,39392.7877455
2012-09-14,39810.7001249
2012-09-15,40334.1740401
2012-09-16,43304.5256044
2012-09-17,41370.939873
2012-09-18,41147.9196017
2012-09-19,41546.1678541
2012-09-20,42103.4309347
2012-09-21,43045.6997479
2012-09-22,43956.6178964
2012-09-23,51240.2574466
2012-09-24,47379.1671829
2012-09-25,45504.7363245
2012-09-26,46323.0705285
2012-09-27,46087.8996669
2012-09-28,46318.7808687
2012-09-29,46971.2730519
2012-09-30,50799.6718188
2012-10-01,48239.1831084
2012-10-02,47621.1452448
2012-10-03,47774.2261346
2012-10-04,47670.6273567
2012-10-05,48931.8239666
2012-10-06,49002.281432
2012-10-07,52299.8930776
2012-10-08,52221.237244
2012-10-09,49964.1626058
2012-10-10,50051.3140446
2012-10-11,52309.8402457
2012-10-12,50578.3216321
2012-10-13,53122.3723253
2012-10-14,56533.0898062
2012-10-15,53856.7874516
2012-10-16,52309.1134045
2012-10-17,52014.9295733
2012-10-18,51401.0580748
2012-10-19,54613.7225463
2012-10-20,54573.2429064
2012-10-21,58921.3939475
2012-10-22,55361.0047624
2012-10-23,54847.6460902
2012-10-24,53363.0473449
2012-10-25,55168.22293
2012-10-26,58860.1511257
2012-10-27,62372.8513912
2012-10-28,66596.5806843
2012-10-29,60751.0171931
2012-10-30,59652.2977807
2012-10-31,59751.2446375
2012-11-01,59514.9210582
2012-11-02,60879.8282431
2012-11-03,62900.1232699
2012-11-04,69664.1768873
2012-11-05,62875.679895
2012-11-06,63705.308091
2012-11-07,62124.3956166
2012-11-08,60465.4599679
2012-11-09,60431.923011
2012-11-10,63139.653511
2012-11-11,66473.9212434
2012-11-12,63047.063053
2012-11-13,59186.0714081
2012-11-14,59098.2091617
2012-11-15,60495.3368876
2012-11-16,62364.7665456
2012-11-17,63549.362131
2012-11-18,66829.5799438
2012-11-19,63099.5470349
2012-11-20,61431.7122577
2012-11-21,62643.9169655
2012-11-22,60824.7545686
2012-11-23,60900.3050708
2012-11-24,66872.7839031
2012-11-25,67399.6933742
2012-11-26,63640.5299921
2012-11-27,64598.4288401
2012-11-28,66176.5783699
2012-11-29,66709.2857457
2012-11-30,68022.1677466
